"site","julian","date2","mean_depth_ft","month","day_month","min","flow10","flow25","flow50","flow75","flow90","max","Nobs","startYr","endYr","date"
6802508,"214",NA,NA,NA,NA,90.7,91.42,92.5,105.9325,119.3988,120.5395,121.3,4,2007,2022,"08-02"
6802508,"244",NA,NA,NA,NA,61.65,91.3,95.675,104.415,115.575,117.65,127.6,11,2007,2022,"09-01"
6802508,"245",NA,NA,NA,NA,90.7,92.32,94.75,105.775,116.5625,118.565,119.9,4,2007,2022,"09-02"
6802508,"274",NA,NA,NA,NA,64.75,94,99.375,102.775,109.95,121.35,121.435,11,2007,2022,"10-01"
6802508,"275",NA,NA,NA,NA,90.7,91.78,93.4,100.825,110.4125,115.925,119.6,4,2007,2022,"10-02"
6802508,"305",NA,NA,NA,NA,65.95,93.25,96.75,99.5,106.85,115.365,118.5,11,2007,2022,"11-01"
6802508,"306",NA,NA,NA,NA,89.6,90.8,92.6,99.1,108.85,116.5,121.6,4,2007,2022,"11-02"
6802508,"335",NA,NA,NA,NA,66.55,91.7,93.1,99.8,106.525,110.5,110.6,11,2007,2022,"12-01"
6802508,"336",NA,NA,NA,NA,86.9,88.95,92.025,98.2167,106.5625,113.515,118.15,4,2007,2022,"12-02"
6802609,"1","2022-01-01",156.08,"Jan","01-01",62.505,83.7585,103.1542,119.7425,132.3088,141.142,156.08,22,2000,2022,"01-01"
6802609,"32","2022-02-01",167.78,"Feb","02-01",62.935,80.296,105.7675,117.1975,126.5975,137.3085,167.78,22,2000,2022,"02-01"
6802609,"60","2022-03-01",163.695,"Mar","03-01",59.03,68.236,102.305,116.705,127.2,142.24,163.695,17,2000,2022,"03-01"
6802609,"61",NA,NA,NA,NA,82.84,89.76,98.8363,110.685,120.3025,129.935,138.155,6,2000,2022,"03-02"
6802609,"91",NA,NA,NA,NA,59.745,71.785,99.9825,113.4525,127.9112,133.6725,155.82,16,2000,2022,"04-01"
6802609,"92",NA,NA,NA,NA,71.8,88.15,107.29,116.035,122.74,131.49,138.13,6,2000,2022,"04-02"
6802609,"121",NA,NA,NA,NA,69.56,82.29,99.1338,114.3475,131.5975,136.05,150.99,16,2000,2022,"05-01"
6802609,"122",NA,NA,NA,NA,63.585,86.865,110.5225,113.08,129.3325,139.035,143.795,6,2000,2022,"05-02"
6802609,"152",NA,NA,NA,NA,81.51,89.1625,104.4,115.66,137.3688,143.5825,151.17,16,2000,2022,"06-01"
6802609,"153",NA,NA,NA,NA,69.14,87.275,106.9838,116.415,132.8025,140.7875,144.88,6,2000,2022,"06-02"
6802609,"182",NA,NA,NA,NA,79.11,90.745,101.005,120.27,145.1388,152.9,158.545,16,2000,2022,"07-01"
6802609,"183",NA,NA,NA,NA,70.015,95.585,121.1688,124.5025,140.0612,149.6475,155.145,6,2000,2022,"07-02"
6802609,"213",NA,NA,NA,NA,73.785,90.785,108.7762,128.5925,144.525,156.13,158.845,16,2000,2022,"08-01"
6802609,"214",NA,NA,NA,NA,75.975,98.9825,123.7275,130.0275,149.7525,159.285,162.605,6,2000,2022,"08-02"
6802609,"244",NA,NA,NA,NA,83.52,100.235,114.0925,134.445,150.515,156.313,159.425,15,2000,2022,"09-01"
6802609,"245",NA,NA,NA,NA,81.19,102.3925,124.4575,128.355,146.3487,156.2325,160.555,6,2000,2022,"09-02"
6802609,"274",NA,NA,NA,NA,85.72,97.417,111.285,132.91,143.9825,150.697,158.01,15,2000,2022,"10-01"
6802609,"275",NA,NA,NA,NA,79.005,97.5825,118.71,127.095,137.8125,149.765,158.39,6,2000,2022,"10-02"
6802609,"305",NA,NA,NA,NA,86.64,91.834,107.105,131.15,137.7925,147.186,149.725,15,2000,2022,"11-01"
6802609,"306",NA,NA,NA,NA,65.42,80.335,102.2538,124.4325,134.8363,148.3275,158.74,6,2000,2022,"11-02"
6802609,"335",NA,NA,NA,NA,82.545,88.067,109.715,124.105,135.42,142.242,146.715,15,2000,2022,"12-01"
6802609,"336",NA,NA,NA,NA,59.46,71.9167,92.4688,122.3375,133.2862,143.3125,151.55,6,2000,2022,"12-02"
6802807,"1","2022-01-01",191.535,"Jan","01-01",111,154.7175,170.7013,175.73,183.6025,188.595,193.19,16,2000,2022,"01-01"
6802807,"32","2022-02-01",193.445,"Feb","02-01",86.8,118.353,141.775,170.2,180.3787,182.237,193.445,22,2000,2022,"02-01"
6802807,"60","2022-03-01",194.695,"Mar","03-01",162.725,168.62,170.2,173.195,180.93,194.49,194.695,11,2000,2022,"03-01"
6802807,"61",NA,NA,NA,NA,149.35,154.8445,163.0863,172.6275,178.375,179.788,180.73,4,2000,2022,"03-02"
6802807,"91",NA,NA,NA,NA,161.365,165.7975,168.6675,175.575,181.2812,185.007,196.86,10,2000,2022,"04-01"
6802807,"92",NA,NA,NA,NA,152.9,157.1645,163.5612,172.7125,179.305,181.096,182.29,4,2000,2022,"04-02"
6802807,"121",NA,NA,NA,NA,163.28,165.413,168.945,176.9475,182.8112,187.0235,195.11,10,2000,2022,"05-01"
6802807,"122",NA,NA,NA,NA,156,158.7915,162.9787,173.8975,183.6938,185.8605,187.305,4,2000,2022,"05-02"
6802807,"152",NA,NA,NA,NA,164.57,166.982,169.475,180.17,187.005,188.5065,194.325,10,2000,2022,"06-01"
6802807,"153",NA,NA,NA,NA,164.75,164.885,165.0875,175.6125,187.2812,189.5425,191.05,4,2000,2022,"06-02"
6802807,"182",NA,NA,NA,NA,167.785,170.1655,171.14,183.905,190.865,192.4895,193.835,10,2000,2022,"07-01"
6802807,"183",NA,NA,NA,NA,170.525,170.5325,170.5437,179.2625,189.9837,193.5995,196.01,4,2000,2022,"07-02"
6802807,"213",NA,NA,NA,NA,171.535,173.587,175.6962,186.2725,193.425,195.066,197.325,10,2000,2022,"08-01"
6802807,"214",NA,NA,NA,NA,172.85,173.615,174.7625,184.215,195.4638,199.8445,202.765,4,2000,2022,"08-02"
